# 시트 sheet-608.png 판독 (608..735).
# 603..693 은 음독 오십음순이 다시 이어진다. 医育宇塩応 부터 王家花階…礼列路廊牢
# 까지 90여 자가 한 번도 어긋나지 않아 이 구간은 순서로 검산했다.
# 694(問) 부터는 다시 순서가 없어 부수 대조로만 확인한다.
# 612 凱, 624 渓, 658 束, 673 念 은 순서(がい/けい/そく/ねん)로 후보를 좁힌 값이다.
# 658 은 기존 538(東)과 비트맵이 다르다. 가운데 가로획이 하나 적어 束 로 읽는다.
# 616 記 은 801 과 비트맵이 완전히 같다. 같은 글자여야 한다.
608	王
609	家
610	花
611	階
612	凱
613	街
614	官
615	館
616	記
617	客
618	教
619	業
620	局
621	区
622	掘
623	窟
624	渓
625	計
626	建
627	研
628	現
629	庫
630	湖
631	工
632	広
633	構
634	港
635	荒
636	講
637	国
638	査
639	祭
640	市
641	室
642	車
643	住
644	昇
645	乗
646	城
647	森
648	図
649	正
650	席
651	跡
652	接
653	旋
654	船
655	層
656	操
657	造
658	束
659	族
660	村
661	谷
662	探
663	段
664	宙
665	柱
666	駐
667	庭
668	艇
669	邸
670	島
671	堂
672	洞
673	念
674	拝
675	白
676	漠
677	畑
678	編
679	墓
680	宝
681	民
682	務
683	門
684	洋
685	裏
686	陸
687	立
688	寮
689	礼
690	列
691	路
692	廊
693	牢
694	問
695	積
696	第
697	退
698	頼
699	北
700	砕
701	究
702	博
703	書
704	主
705	々
706	保
707	健
708	訓
709	練
710	施
711	秘
712	密
713	向
714	質
715	配
716	直
717	利
718	単
719	数
720	照
721	指
722	類
723	注
724	置
725	最
726	参
727	交
728	換
729	号
730	粉
731	羽
732	竜
733	糸
734	爪
735	極
