# 시트 sheet-128.png 판독 (129..222). 짝수=가타카나, 홀수=히라가나 쌍 구조가
# 155 까지 이어지고, 156..173 은 같은 규칙의 소문자 가나 9쌍이다.
#   ッっ ャゃ ュゅ ョょ ァぁ ィぃ ゥぅ ェぇ ォぉ
# 소문자 여부는 글리프 크기로 갈랐다. 예: 106(ア) 9줄 28px vs 164(ァ) 7줄 21px.
# 142 는 한자 口(300)가 아니라 가타카나 ロ 다. 300 은 10줄 34px, 142 는 8줄 30px.
# 218 부터는 61(、) 62(。) 와 다른 ASCII 계열 부호다.
# 204 는 ASCII 하이픈으로 적는다. 203(+) 205(=) 와 계열을 맞추고, 번역문을
#   다시 인덱스로 되돌릴 때 사람이 친 '-' 와 U+2212 가 갈리는 것을 막는다.
#   222(～) 223(ー) 와는 여전히 구별된다.
128	ム
129	む
130	メ
131	め
132	モ
133	も
134	ラ
135	ら
136	リ
137	り
138	ル
139	る
140	レ
141	れ
142	ロ
143	ろ
144	ヤ
145	や
146	ユ
147	ゆ
148	ヨ
149	よ
150	ワ
151	わ
152	ン
153	ん
154	ヲ
155	を
156	ッ
157	っ
158	ャ
159	ゃ
160	ュ
161	ゅ
162	ョ
163	ょ
164	ァ
165	ぁ
166	ィ
167	ぃ
168	ゥ
169	ぅ
170	ェ
171	ぇ
172	ォ
173	ぉ
174	A
175	B
176	C
177	D
178	E
179	F
180	G
181	H
182	I
183	J
184	K
185	L
186	M
187	N
188	O
189	P
190	Q
191	R
192	S
193	T
194	U
195	V
196	W
197	X
198	Y
199	Z
200	!
201	?
202	…
203	+
204	-
205	=
206	※
207	/
208	%
209	&
210	「
211	」
212	(
213	)
214	収
215	容
216	所
217	駅
218	・
219	.
220	,
221	:
222	～
223	ー
