# 시트 sheet-000.png 판독. 짝수=가타카나, 홀수=히라가나 쌍 구조.
# 0..49 탁음·반탁음, 51..60 숫자, 61..62 구두점, 64.. 청음.
# 63 은 비어 보인다(공백 후보). 확신이 없어 비워 둔다.
0	バ
1	ば
2	ビ
3	び
4	ブ
5	ぶ
6	ベ
7	べ
8	ボ
9	ぼ
10	ガ
11	が
12	ギ
13	ぎ
14	グ
15	ぐ
16	ゲ
17	げ
18	ゴ
19	ご
20	ザ
21	ざ
22	ジ
23	じ
24	ズ
25	ず
26	ゼ
27	ぜ
28	ゾ
29	ぞ
30	ダ
31	だ
32	ヂ
33	ぢ
34	ヅ
35	づ
36	デ
37	で
38	ド
39	ど
40	ヴ
41	パ
42	ぱ
43	ピ
44	ぴ
45	プ
46	ぷ
47	ペ
48	ぺ
49	ポ
50	ぽ
51	0
52	1
53	2
54	3
55	4
56	5
57	6
58	7
59	8
60	9
61	、
62	。
64	ハ
65	は
66	ヒ
67	ひ
68	フ
69	ふ
70	ヘ
71	へ
72	ホ
73	ほ
74	カ
75	か
76	キ
77	き
78	ク
79	く
80	ケ
81	け
82	コ
83	こ
84	サ
85	さ
86	シ
87	し
88	ス
89	す
90	セ
91	せ
92	ソ
93	そ
94	タ
95	た
96	チ
97	ち
98	ツ
99	つ
100	テ
101	て
102	ト
103	と
104	ウ
105	う
106	ア
107	あ
108	イ
109	い
110	エ
111	え
112	オ
113	お
114	ナ
115	な
116	ニ
117	に
118	ヌ
119	ぬ
120	ネ
121	ね
122	ノ
123	の
124	マ
125	ま
126	ミ
127	み
